State,District,Candidate,Party,"Incumbent/
Challenger/Open",Receipts,"Contributions 
from Individuals","Contributions
from PACs and
Other Committees","Contributions and
Loans from 
 the Candidate",Disbursements,Cash On Hand,Debts,Coverage End Date
Alabama,01,"BYRNE, BRADLEY ROBERTS",Republican Party,Incumbent,"$1,001,925","$200,182","$742,250",$0,"$533,325","$914,918",$0,6/30/18
Alabama,01,"KENNEDY, ROBERT JR.",Democratic Party,Challenger,"$133,664","$13,664",$0,"$120,000","$17,053","$116,611","$120,000",6/30/18
Alabama,01,"MCCONNELL, LIZZETTA HILL",Democratic Party,Challenger,"$5,127","$5,127",$0,$0,"$6,021",-$894,$0,6/30/18
Alabama,02,"ROBY, MARTHA",Republican Party,Incumbent,"$2,186,213","$718,837","$1,381,291",$0,"$1,500,990","$730,674",$0,6/27/18
Alabama,02,"AMASON, THOMAS MARRION III",Republican Party,Challenger,"$15,381","$8,366",$0,"$2,014","$14,007","-$2,516",$0,5/16/18
Alabama,02,"BRIGHT, BOBBY NEAL SR.",Republican Party,Challenger,"$406,557","$96,077","$1,000","$309,480","$243,959","$162,599","$309,480",6/27/18
Alabama,02,"HOBSON, RICH",Republican Party,Challenger,"$76,307","$75,807",$0,$500,"$75,634",$673,$0,6/30/18
Alabama,02,"ISNER, TABITHA KAY",Democratic Party,Challenger,"$240,069","$225,790",$0,"$14,279","$152,635","$87,435",$0,6/30/18
Alabama,02,"MOORE, FELIX BARRY",Republican Party,Challenger,"$152,607","$76,882",$250,"$75,475","$149,655","$2,952","$75,475",6/30/18
Alabama,02,"WILLIAMS, AUDRI SCOTT 1955",Democratic Party,Challenger,"$35,365","$33,165",$0,"$2,200","$35,210",-$328,$0,6/30/18
Alabama,03,"ROGERS, MICHAEL",Republican Party,Incumbent,"$959,572","$351,192","$598,725",$0,"$462,189","$1,022,931",$0,6/30/18
Alabama,03,"HAGAN, MALLORY",Democratic Party,Challenger,"$178,349","$163,700","$14,500",$0,"$153,680","$24,069",$0,6/30/18
Alabama,03,"WINFREY, ADIA MCCLELLAN DR",Democratic Party,Challenger,"$13,910","$8,989",$0,$941,"$8,665",$400,$0,6/30/18
Alabama,04,"ADERHOLT, ROBERT B. REP.",Republican Party,Incumbent,"$1,258,842","$396,498","$850,344",$0,"$725,462","$998,893",$0,6/30/18
Alabama,04,"AUMAN, JAMES LEE",Democratic Party,Challenger,"$21,058","$21,018",$0,$40,"$12,272","$8,986",$0,6/30/18
Alabama,04,"BLACKMON, ANTHONY MR",Republican Party,Challenger,"$5,648",$0,$0,"$5,648","$5,356",$319,$29,5/16/18
